Round,Tps,BatchCreateTimeout,BatchMaxSize,Connectors,Dlazy,Dout,GossipRetransmission,HeartbeatInterval,MaxPeerCountAllow,OpportunisticGraftPeers,TBFT_propose_delta_timeout,TBFT_propose_timeout,block_tx_capacity
1,913.0,50.0,20.0,8.0,1.0,1.0,3.0,1.0,6.0,2.0,1.0,30.0,40.0
2,869.0,50.0,21.43,8.14,1.14,1.0,3.14,1.0,6.14,2.14,1.14,30.0,40.0
3,822.57,51.43,27.14,8.14,1.0,1.29,3.0,1.14,6.0,2.43,1.0,30.0,44.29
4,677.29,51.43,21.43,8.14,1.0,1.0,3.0,1.57,6.0,2.29,1.43,30.0,51.43
5,733.86,51.43,20.0,8.29,1.0,1.43,3.0,1.43,6.14,2.0,1.14,30.29,42.86
6,820.57,52.86,21.43,8.29,1.0,1.43,3.0,1.57,6.0,2.0,1.14,30.43,40.0
7,919.14,50.0,20.0,8.71,1.0,1.14,3.0,1.57,6.29,2.0,1.0,30.43,51.43
8,977.86,50.0,21.43,8.86,1.0,1.14,3.0,1.57,6.14,2.0,1.14,30.71,45.71
9,817.14,50.0,22.86,8.0,1.0,1.43,3.0,1.57,6.14,2.29,1.14,30.86,44.29
10,868.43,51.43,20.0,8.14,1.0,1.43,3.0,2.0,6.86,2.14,1.0,30.29,45.71
11,887.43,51.43,22.86,8.14,1.0,1.43,3.0,1.43,6.29,2.14,1.14,30.86,45.71
12,825.43,52.86,20.0,8.14,1.0,1.43,3.0,1.71,6.43,2.29,1.14,30.29,51.43
13,910.57,52.86,20.0,8.57,1.0,1.71,3.0,1.86,6.57,2.0,1.0,30.43,42.86
14,1130.43,54.29,20.0,8.29,1.0,1.57,3.0,1.57,6.14,2.14,1.14,30.14,60.0
15,1176.14,52.86,20.0,8.29,1.0,1.86,3.0,2.14,6.29,2.14,1.0,30.14,60.0
16,933.43,51.43,20.0,8.0,1.0,1.43,3.0,2.29,6.86,2.14,1.14,30.29,62.86
17,1138.57,55.71,20.0,8.57,1.0,1.86,3.0,1.14,6.86,2.0,1.14,30.57,65.71
18,1432.57,52.86,20.0,9.14,1.0,1.57,3.0,1.71,6.29,2.14,1.0,30.14,71.43
19,1396.43,54.29,20.0,8.86,1.0,1.57,3.0,1.71,6.43,2.0,1.0,30.29,80.0
20,1045.43,54.29,20.0,9.86,1.0,1.29,3.0,1.71,6.14,2.0,1.14,30.29,62.86
21,1354.43,60.0,20.0,9.71,1.0,1.14,3.0,2.0,6.0,2.0,1.14,30.14,62.86
22,1201.43,52.86,20.0,9.29,1.0,1.14,3.0,1.43,6.14,2.14,1.14,30.29,74.29
23,1052.71,60.0,20.0,9.29,1.0,1.14,3.0,1.86,6.29,2.14,1.0,30.43,60.0
24,1070.29,52.86,20.0,8.57,1.0,1.43,3.0,2.29,6.14,2.14,1.29,30.71,60.0
25,1054.0,62.86,20.0,8.86,1.0,1.57,3.0,2.0,6.43,2.0,1.0,30.0,60.0
26,1067.14,60.0,20.0,9.29,1.0,1.29,3.0,1.57,6.29,2.0,1.14,30.14,62.86
27,1035.86,52.86,21.43,8.43,1.0,1.43,3.0,1.71,6.43,2.14,1.0,30.14,60.0
28,981.29,50.0,20.0,9.57,1.0,1.43,3.0,1.57,6.14,2.14,1.14,31.0,77.14
29,1077.86,52.86,20.0,8.29,1.0,1.71,3.0,1.29,6.43,2.29,1.14,30.43,65.71
30,1179.86,57.14,20.0,8.57,1.0,1.29,3.0,1.57,6.57,2.0,1.0,30.14,74.29
31,1112.14,51.43,21.43,8.57,1.0,1.43,3.0,2.14,6.29,2.0,1.14,30.57,62.86
32,1252.57,55.71,20.0,8.43,1.0,1.14,3.0,2.0,6.0,2.29,1.29,30.57,88.57
33,1197.71,57.14,21.43,8.86,1.0,1.43,3.0,1.71,6.14,2.14,1.14,30.29,78.57
34,1105.43,61.43,20.0,10.14,1.0,1.0,3.0,1.29,6.0,2.14,1.0,30.14,71.43
35,1031.57,62.86,20.0,8.29,1.0,1.43,3.0,1.57,6.29,2.14,1.14,30.29,80.0
36,1469.29,55.71,20.0,8.86,1.0,1.43,3.0,1.86,6.0,2.29,1.14,30.57,108.57
37,1249.43,61.43,20.0,9.0,1.0,1.0,3.0,1.71,6.0,2.29,1.14,30.57,125.71
38,1330.71,55.71,20.0,9.86,1.0,1.0,3.0,2.29,6.0,2.0,1.0,30.14,117.14
39,1408.71,65.71,20.0,8.43,1.0,1.14,3.0,1.86,6.0,2.0,1.14,30.14,105.71
40,1342.14,67.14,20.0,8.14,1.0,1.0,3.0,2.14,6.0,2.0,1.14,30.29,100.0
41,1415.29,57.14,20.0,9.0,1.0,1.14,3.0,2.0,6.0,2.0,1.0,30.14,122.86
42,1527.83,65.0,20.0,8.17,1.0,1.17,3.0,1.83,6.17,2.0,1.0,30.17,133.33
43,1713.8,66.0,20.0,8.2,1.0,1.2,3.0,2.0,6.0,2.0,1.0,30.2,168.0
44,1773.33,73.33,20.0,8.0,1.0,1.33,3.0,2.0,6.0,2.0,1.0,30.0,153.33
45,2012.5,55.0,20.0,8.0,1.0,1.5,3.0,2.0,6.0,2.0,1.0,30.0,200.0
46,2101.0,55.0,20.0,8.0,1.0,1.5,3.0,2.0,6.0,2.0,1.0,30.0,220.0
47,2256.0,60.0,20.0,8.0,1.0,1.0,3.0,2.0,6.0,2.0,1.0,30.0,260.0
